iter	Logloss
0	0.6590785866
1	0.6312512745
2	0.5980152419
3	0.5747406574
4	0.5461548731
5	0.5188596784
6	0.497908107
7	0.478008508
8	0.4564953721
9	0.4397760501
10	0.4243514212
11	0.4083814668
12	0.3962642282
13	0.382002927
14	0.3691736678
15	0.3593274363
16	0.3502023054
17	0.339977077
18	0.3292506081
19	0.319436483
20	0.3116712771
21	0.3038106154
22	0.297781488
23	0.2911288827
24	0.2828710415
25	0.2786920754
26	0.2738657644
27	0.2670746483
28	0.2631143805
29	0.257202552
30	0.2530691785
31	0.248464983
32	0.2448088413
33	0.2414365793
34	0.2386926372
35	0.2357183077
36	0.2325541014
37	0.2287083833
38	0.2261136111
39	0.2232168969
40	0.220129557
41	0.2173767084
42	0.2139424263
43	0.2106981315
44	0.2080214972
45	0.2058526359
46	0.2028842318
47	0.2007921842
48	0.1985633994
49	0.1970163755
50	0.1949535575
51	0.1918855534
52	0.1903660138
53	0.1886953813
54	0.1870865207
55	0.1851086313
56	0.1833551039
57	0.1813219745
58	0.1798830774
59	0.1783039926
60	0.1768756676
61	0.174978706
62	0.1737273181
63	0.1725967846
64	0.1719478131
65	0.1707970845
66	0.1690325341
67	0.1672869608
68	0.1660642982
69	0.1649880315
70	0.1632661099
71	0.1616380749
72	0.1601614806
73	0.1585621182
74	0.1568043364
75	0.1556484003
76	0.1540753517
77	0.1528530149
78	0.1511606317
79	0.1499022924
80	0.148573807
81	0.1475017959
82	0.1465548009
83	0.1452605986
84	0.144293001
85	0.143183695
86	0.1421641341
87	0.1410560162
88	0.1398617385
89	0.1387798961
90	0.1376081135
91	0.1369061331
92	0.1356141578
93	0.1347931729
94	0.1339896664
95	0.1332922143
96	0.1324700292
97	0.1313646537
98	0.1304950461
99	0.1298801875
