iter	Passed	Remaining
0	1	191
1	2	136
2	3	117
3	4	108
4	4	91
5	5	88
6	6	85
7	7	83
8	7	80
9	8	73
10	8	72
11	9	73
12	10	72
13	11	71
14	12	70
15	13	68
16	13	67
17	14	66
18	15	66
19	16	66
20	17	65
21	18	64
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	54
34	29	53
35	29	53
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	39
53	44	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	28
65	53	27
66	55	27
67	55	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
